Jun 28 19:43:11 dnsmasq[210]: query[A] www.google.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[HTTPS] www.google.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[AAAA] cdn.shopify.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[A] cdn.shopify.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[HTTPS] cdn.shopify.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[AAAA] rapid-cdn.yottaa.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[A] rapid-cdn.yottaa.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[HTTPS] rapid-cdn.yottaa.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[AAAA] fonts.shopifycdn.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[A] fonts.shopifycdn.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[HTTPS] fonts.shopifycdn.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[AAAA] cdn1.stamped.io from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[A] cdn1.stamped.io from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[HTTPS] cdn1.stamped.io from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[AAAA] fonts.googleapis.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[A] fonts.googleapis.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[HTTPS] fonts.googleapis.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[AAAA] ajax.googleapis.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[A] ajax.googleapis.com from 10.1.1.92
Jun 28 19:43:11 dnsmasq[210]: query[HTTPS] ajax.googleapis.com from 10.1.1.92
Jun 28 19:43:39 dnsmasq[210]: query[AAAA] www.facebook.com from 10.1.1.92
Jun 28 19:43:39 dnsmasq[210]: query[A] www.facebook.com from 10.1.1.92
Jun 28 19:43:39 dnsmasq[210]: query[HTTPS] www.facebook.com from 10.1.1.92
Jun 28 19:43:39 dnsmasq[210]: query[AAAA] optimizationguide-pa.googleapis.com from 10.1.1.92
Jun 28 19:43:39 dnsmasq[210]: query[A] optimizationguide-pa.googleapis.com from 10.1.1.92
Jun 28 19:43:39 dnsmasq[210]: query[HTTPS] optimizationguide-pa.googleapis.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[AAAA] shopify-init.blackcrow.ai from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[A] shopify-init.blackcrow.ai from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[HTTPS] shopify-init.blackcrow.ai from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[AAAA] unpkg.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[A] unpkg.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[HTTPS] unpkg.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[AAAA] code.jquery.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[A] code.jquery.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[HTTPS] code.jquery.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[AAAA] cdn.myshopify.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[A] cdn.myshopify.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[HTTPS] cdn.myshopify.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[AAAA] www.googleoptimize.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[A] www.googleoptimize.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[HTTPS] www.googleoptimize.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[AAAA] monorail-edge.shopifysvc.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[A] monorail-edge.shopifysvc.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[HTTPS] monorail-edge.shopifysvc.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[AAAA] cdn-widgetsrepository.yotpo.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[A] cdn-widgetsrepository.yotpo.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[HTTPS] cdn-widgetsrepository.yotpo.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[AAAA] static.klaviyo.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[A] static.klaviyo.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[HTTPS] static.klaviyo.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[AAAA] www.googletagmanager.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[A] www.googletagmanager.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[HTTPS] www.googletagmanager.com from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[AAAA] api.blackcrow.ai from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[A] api.blackcrow.ai from 10.1.1.92
Jun 28 19:43:40 dnsmasq[210]: query[HTTPS] api.blackcrow.ai from 10.1.1.92
