Feb 15 10:06:54 dnsmasq[416]: query[HTTPS] res.cloudinary.com from 10.1.1.92
Feb 15 10:06:58 dnsmasq[416]: query[A] mssdk16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:06:58 dnsmasq[416]: query[A] ssl.google-analytics.com from 10.1.1.92
Feb 15 10:07:01 dnsmasq[416]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:07:15 dnsmasq[416]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
Feb 15 10:07:16 dnsmasq[416]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:07:27 dnsmasq[416]: query[A] www.google.com from 10.1.1.92
Feb 15 10:07:27 dnsmasq[416]: query[HTTPS] www.google.com from 10.1.1.92
Feb 15 10:07:30 dnsmasq[416]: query[A] hotapi16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:07:41 dnsmasq[416]: query[A] pitaya.us.tiktokv.com from 10.1.1.92
Feb 15 10:07:43 dnsmasq[416]: query[A] device-metrics-us-2.amazon.com from 10.1.1.92
Feb 15 10:07:43 dnsmasq[416]: query[A] device-metrics-us-2.amazon.com from 10.1.1.92
Feb 15 10:08:00 dnsmasq[416]: query[A] discover-pa.googleapis.com from 10.1.1.92
Feb 15 10:08:00 dnsmasq[416]: query[HTTPS] discover-pa.googleapis.com from 10.1.1.92
Feb 15 10:09:23 dnsmasq[416]: query[A] frontier.us.tiktokv.com from 10.1.1.92
Feb 15 10:09:47 dnsmasq[416]: query[A] ssl.google-analytics.com from 10.1.1.92
Feb 15 10:09:55 dnsmasq[416]: query[A] www.google.com from 10.1.1.92
Feb 15 10:09:55 dnsmasq[416]: query[HTTPS] www.google.com from 10.1.1.92
Feb 15 10:10:21 dnsmasq[416]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
Feb 15 10:10:43 dnsmasq[416]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:10:44 dnsmasq[416]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:10:53 dnsmasq[416]: query[A] graph.facebook.com from 10.1.1.92
Feb 15 10:10:55 dnsmasq[416]: query[A] www.google.com from 10.1.1.92
Feb 15 10:10:55 dnsmasq[416]: query[HTTPS] www.google.com from 10.1.1.92
Feb 15 10:11:03 dnsmasq[416]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:19 dnsmasq[416]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:36 dnsmasq[416]: query[A] frontier.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:42 dnsmasq[416]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:42 dnsmasq[416]: query[A] pull-a5-tt02-infra.fcdn.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:42 dnsmasq[416]: query[A] pull-flv-f77-tt02.fcdn.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:42 dnsmasq[416]: query[A] pull-f5-tt02-infra.fcdn.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:43 dnsmasq[416]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:43 dnsmasq[416]: query[A] libra16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:43 dnsmasq[416]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:43 dnsmasq[416]: query[A] vcs16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:44 dnsmasq[416]: query[A] p16-sign-va.tiktokcdn.com from 10.1.1.92
Feb 15 10:11:44 dnsmasq[416]: query[A] mssdk16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:46 dnsmasq[416]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:11:47 dnsmasq[416]: query[A] ssl.google-analytics.com from 10.1.1.92
Feb 15 10:11:48 dnsmasq[416]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:01 dnsmasq[416]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:02 dnsmasq[416]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:03 dnsmasq[416]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
Feb 15 10:12:03 dnsmasq[416]: query[A] hotapi16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:05 dnsmasq[416]: query[A] www.google.com from 10.1.1.92
Feb 15 10:12:06 dnsmasq[416]: query[A] update.googleapis.com from 10.1.1.92
Feb 15 10:12:07 dnsmasq[416]: query[A] geller-pa.googleapis.com from 10.1.1.92
Feb 15 10:12:08 dnsmasq[416]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:15 dnsmasq[416]: query[A] app-measurement.com from 10.1.1.92
Feb 15 10:12:18 dnsmasq[416]: query[A] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
Feb 15 10:12:21 dnsmasq[416]: query[A] pitaya.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:22 dnsmasq[416]: query[A] jsb16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:22 dnsmasq[416]: query[A] youtubei.googleapis.com from 10.1.1.92
Feb 15 10:12:25 dnsmasq[416]: query[A] frontier.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:33 dnsmasq[416]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:33 dnsmasq[416]: query[A] bsync.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:46 dnsmasq[416]: query[A] mssdk16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:49 dnsmasq[416]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:12:54 dnsmasq[416]: query[A] android-context-data.googleapis.com from 10.1.1.92
Feb 15 10:13:03 dnsmasq[416]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
Feb 15 10:13:04 dnsmasq[416]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:13:07 dnsmasq[416]: query[A] www.google.com from 10.1.1.92
Feb 15 10:13:07 dnsmasq[416]: query[HTTPS] www.google.com from 10.1.1.92
Feb 15 10:13:18 dnsmasq[416]: query[A] hotapi16-platform-useast5.us.tiktokv.com from 10.1.1.92
Feb 15 10:13:29 dnsmasq[416]: query[A] pitaya.us.tiktokv.com from 10.1.1.92
Feb 15 10:13:30 dnsmasq[416]: query[A] optimizationguide-pa.googleapis.com from 10.1.1.92
Feb 15 10:13:30 dnsmasq[416]: query[HTTPS] optimizationguide-pa.googleapis.com from 10.1.1.92
Feb 15 10:13:30 dnsmasq[416]: query[A] dns-tunnel-check.googlezip.net from 10.1.1.92
Feb 15 10:13:30 dnsmasq[416]: query[A] tunnel.googlezip.net from 10.1.1.92
Feb 15 10:13:30 dnsmasq[416]: query[A] play.google.com from 10.1.1.92
Feb 15 10:13:30 dnsmasq[416]: query[HTTPS] play.google.com from 10.1.1.92
Feb 15 10:13:31 dnsmasq[416]: query[A] cdn.ampproject.org from 10.1.1.92
Feb 15 10:13:31 dnsmasq[416]: query[HTTPS] cdn.ampproject.org from 10.1.1.92
Feb 15 10:13:31 dnsmasq[416]: query[A] device-metrics-us-2.amazon.com from 10.1.1.92
Feb 15 10:13:31 dnsmasq[416]: query[A] device-metrics-us-2.amazon.com from 10.1.1.92
Feb 15 10:13:32 dnsmasq[416]: query[A] adservice.google.com from 10.1.1.92
Feb 15 10:13:32 dnsmasq[416]: query[HTTPS] adservice.google.com from 10.1.1.92
Feb 15 10:13:33 dnsmasq[416]: query[A] www.googleadservices.com from 10.1.1.92
Feb 15 10:13:33 dnsmasq[416]: query[HTTPS] www.googleadservices.com from 10.1.1.92
Feb 15 10:13:43 dnsmasq[416]: query[A] inbox.google.com from 10.1.1.92
Feb 15 10:13:43 dnsmasq[416]: query[A] play.googleapis.com from 10.1.1.92
Feb 15 10:14:31 dnsmasq[416]: query[A] clients4.google.com from 10.1.1.92
Feb 15 10:14:31 dnsmasq[416]: query[HTTPS] clients4.google.com from 10.1.1.92
Feb 15 10:14:46 dnsmasq[416]: query[A] clients3.google.com from 10.1.1.92
Feb 15 10:16:06 dnsmasq[416]: query[A] ssl.google-analytics.com from 10.1.1.92
Feb 15 10:16:26 dnsmasq[416]: query[A] clients3.google.com from 10.1.1.92
Feb 15 10:18:53 dnsmasq[416]: query[A] connectivitycheck.android.com from 10.1.1.92
Feb 15 10:21:27 dnsmasq[416]: query[A] graph.facebook.com from 10.1.1.92
Feb 15 10:21:27 dnsmasq[416]: query[A] graph.facebook.com from 10.1.1.92
Feb 15 10:21:27 dnsmasq[416]: query[A] api.mixpanel.com from 10.1.1.92
Feb 15 10:21:27 dnsmasq[416]: query[A] api.onesignal.com from 10.1.1.92
Feb 15 10:21:27 dnsmasq[416]: query[A] config.edge.skype.com from 10.1.1.92
Feb 15 10:21:28 dnsmasq[416]: query[A] api.statsig.com from 10.1.1.92
Feb 15 10:21:44 dnsmasq[416]: query[A] in.appcenter.ms from 10.1.1.92
Feb 15 10:21:46 dnsmasq[416]: query[A] 0.datadog.pool.ntp.org from 10.1.1.92
Feb 15 10:21:46 dnsmasq[416]: query[A] 1.datadog.pool.ntp.org from 10.1.1.92
Feb 15 10:21:46 dnsmasq[416]: query[A] 2.datadog.pool.ntp.org from 10.1.1.92
Feb 15 10:21:46 dnsmasq[416]: query[A] 3.datadog.pool.ntp.org from 10.1.1.92
Feb 15 10:21:46 dnsmasq[416]: query[A] firebase-settings.crashlytics.com from 10.1.1.92
Feb 15 10:21:46 dnsmasq[416]: query[A] api.iterable.com from 10.1.1.92
Feb 15 10:21:46 dnsmasq[416]: query[A] firebaseremoteconfig.googleapis.com from 10.1.1.92
Feb 15 10:21:46 dnsmasq[416]: query[A] firebaseremoteconfig.googleapis.com from 10.1.1.92
Feb 15 10:21:51 dnsmasq[416]: query[A] clients3.google.com from 10.1.1.92
Feb 15 10:21:56 dnsmasq[416]: query[A] in.appcenter.ms from 10.1.1.92
Feb 15 10:22:01 dnsmasq[416]: query[A] connectapi.garmin.com from 10.1.1.92
Feb 15 10:22:01 dnsmasq[416]: query[A] api.gcs.garmin.com from 10.1.1.92
Feb 15 10:22:01 dnsmasq[416]: query[A] api.gcs.garmin.com from 10.1.1.92
Feb 15 10:22:17 dnsmasq[416]: query[A] in.appcenter.ms from 10.1.1.92
Feb 15 10:22:50 dnsmasq[416]: query[A] frontier.us.tiktokv.com from 10.1.1.92
Feb 15 10:23:01 dnsmasq[416]: query[A] rum.browser-intake-datadoghq.com from 10.1.1.92
Feb 15 10:23:01 dnsmasq[416]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
