May 14 09:12:58 dnsmasq[208]: query[A] bsync.us.tiktokv.com from 10.1.1.92
May 14 09:13:03 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:13:03 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:13:36 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:13:36 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:14:23 dnsmasq[208]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:14:26 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:14:26 dnsmasq[208]: query[AAAA] api22-core.tiktokv.com from 10.1.1.92
May 14 09:14:26 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:14:38 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:14:38 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:14:41 dnsmasq[208]: query[A] gecko16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:14:46 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:15:10 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:15:10 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:15:31 dnsmasq[208]: query[AAAA] frontier.us.tiktokv.com from 10.1.1.92
May 14 09:15:31 dnsmasq[208]: query[A] frontier.us.tiktokv.com from 10.1.1.92
May 14 09:15:37 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:15:37 dnsmasq[208]: query[AAAA] api16-core.tiktokv.com from 10.1.1.92
May 14 09:15:37 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:15:43 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:15:43 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:15:47 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:15:54 dnsmasq[208]: query[AAAA] cdn.fbsbx.com from 10.1.1.92
May 14 09:15:54 dnsmasq[208]: query[A] cdn.fbsbx.com from 10.1.1.92
May 14 09:16:13 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:16:13 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:16:46 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:16:46 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:17:11 dnsmasq[208]: query[AAAA] config.edge.skype.com from 10.1.1.92
May 14 09:17:11 dnsmasq[208]: query[A] config.edge.skype.com from 10.1.1.92
May 14 09:17:31 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:17:34 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:17:34 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:17:48 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:17:48 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:17:58 dnsmasq[208]: query[AAAA] bsync.us.tiktokv.com from 10.1.1.92
May 14 09:17:58 dnsmasq[208]: query[A] bsync.us.tiktokv.com from 10.1.1.92
May 14 09:18:20 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:18:20 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:18:28 dnsmasq[208]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:18:32 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:18:32 dnsmasq[208]: query[AAAA] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:18:32 dnsmasq[208]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:18:36 dnsmasq[208]: query[AAAA] mediation.fyber.com from 10.1.1.92
May 14 09:18:36 dnsmasq[208]: query[A] mediation.fyber.com from 10.1.1.92
May 14 09:18:40 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:18:40 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:18:52 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:18:52 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:19:23 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:19:23 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:19:26 dnsmasq[208]: query[AAAA] cdn.fbsbx.com from 10.1.1.92
May 14 09:19:26 dnsmasq[208]: query[A] cdn.fbsbx.com from 10.1.1.92
May 14 09:19:55 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:19:55 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:20:29 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:20:29 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:20:56 dnsmasq[208]: query[AAAA] frontier.us.tiktokv.com from 10.1.1.92
May 14 09:20:56 dnsmasq[208]: query[A] frontier.us.tiktokv.com from 10.1.1.92
May 14 09:20:58 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:20:58 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:21:32 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:21:32 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:21:32 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:21:36 dnsmasq[208]: query[AAAA] api16-core.tiktokv.com from 10.1.1.92
May 14 09:21:36 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:21:36 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:22:24 dnsmasq[208]: query[AAAA] userlocation.googleapis.com from 10.1.1.92
May 14 09:22:25 dnsmasq[208]: query[A] userlocation.googleapis.com from 10.1.1.92
May 14 09:22:32 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:22:34 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:22:34 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:22:41 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:22:41 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:22:58 dnsmasq[208]: query[AAAA] bsync.us.tiktokv.com from 10.1.1.92
May 14 09:22:58 dnsmasq[208]: query[A] bsync.us.tiktokv.com from 10.1.1.92
May 14 09:23:06 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:23:06 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:23:14 dnsmasq[208]: query[AAAA] config.edge.skype.com from 10.1.1.92
May 14 09:23:14 dnsmasq[208]: query[A] config.edge.skype.com from 10.1.1.92
May 14 09:23:21 dnsmasq[208]: query[AAAA] searchnotifications-pa.googleapis.com from 10.1.1.92
May 14 09:23:21 dnsmasq[208]: query[A] searchnotifications-pa.googleapis.com from 10.1.1.92
May 14 09:23:38 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:23:38 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:24:09 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:24:09 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:24:32 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:24:36 dnsmasq[208]: query[AAAA] api22-core.tiktokv.com from 10.1.1.92
May 14 09:24:36 dnsmasq[208]: query[AAAA] api16-core.tiktokv.com from 10.1.1.92
May 14 09:24:36 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:24:36 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:24:41 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:24:41 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:24:53 dnsmasq[208]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:25:05 dnsmasq[208]: query[AAAA] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:25:05 dnsmasq[208]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:25:14 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:25:14 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:25:34 dnsmasq[208]: query[AAAA] cdn.fbsbx.com from 10.1.1.92
May 14 09:25:34 dnsmasq[208]: query[A] cdn.fbsbx.com from 10.1.1.92
May 14 09:25:36 dnsmasq[208]: query[AAAA] mediation.fyber.com from 10.1.1.92
May 14 09:25:36 dnsmasq[208]: query[A] mediation.fyber.com from 10.1.1.92
May 14 09:25:44 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:25:44 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:26:17 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:26:17 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:26:25 dnsmasq[208]: query[A] userlocation.googleapis.com from 10.1.1.92
May 14 09:27:19 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:27:19 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:27:31 dnsmasq[208]: query[AAAA] cdn.fbsbx.com from 10.1.1.92
May 14 09:27:31 dnsmasq[208]: query[A] cdn.fbsbx.com from 10.1.1.92
May 14 09:27:31 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:27:33 dnsmasq[208]: query[AAAA] vcs16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:27:33 dnsmasq[208]: query[A] vcs16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:27:35 dnsmasq[208]: query[AAAA] api16-core.tiktokv.com from 10.1.1.92
May 14 09:27:35 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:27:35 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:27:51 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:27:51 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:27:57 dnsmasq[208]: query[AAAA] web.facebook.com from 10.1.1.92
May 14 09:27:57 dnsmasq[208]: query[A] web.facebook.com from 10.1.1.92
May 14 09:27:58 dnsmasq[208]: query[AAAA] bsync.us.tiktokv.com from 10.1.1.92
May 14 09:27:58 dnsmasq[208]: query[A] bsync.us.tiktokv.com from 10.1.1.92
May 14 09:28:20 dnsmasq[208]: query[AAAA] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:28:20 dnsmasq[208]: query[A] webcast16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:28:25 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:28:25 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:28:33 dnsmasq[208]: query[A] log16-applog-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:28:35 dnsmasq[208]: query[AAAA] api16-core-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:28:35 dnsmasq[208]: query[A] api16-core-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:28:36 dnsmasq[208]: query[A] api16-core.tiktokv.com from 10.1.1.92
May 14 09:28:36 dnsmasq[208]: query[A] api22-core.tiktokv.com from 10.1.1.92
May 14 09:28:43 dnsmasq[208]: query[A] mon16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:28:50 dnsmasq[208]: query[A] api16-normal-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:28:55 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:28:55 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:28:57 dnsmasq[208]: query[AAAA] frontier.us.tiktokv.com from 10.1.1.92
May 14 09:28:57 dnsmasq[208]: query[A] frontier.us.tiktokv.com from 10.1.1.92
May 14 09:29:02 dnsmasq[208]: query[AAAA] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:29:02 dnsmasq[208]: query[A] tnc16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:29:03 dnsmasq[208]: query[A] vcs16-platform-useast5.us.tiktokv.com from 10.1.1.92
May 14 09:29:17 dnsmasq[208]: query[AAAA] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
May 14 09:29:17 dnsmasq[208]: query[A] tnc16-platform-useast1a.tiktokv.com from 10.1.1.92
May 14 09:29:28 dnsmasq[208]: query[AAAA] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:29:28 dnsmasq[208]: query[A] mobile.pipe.aria.microsoft.com from 10.1.1.92
May 14 09:29:32 dnsmasq[208]: query[AAAA] tnc16-platform-alisg.tiktokv.com from 10.1.1.92
